,,,,,,
Shuangbaotai,,Dough bread,Taiwan,"Chewy fried dough bread containing large air pockets on the inside and a crisp crust on the outside. It is made by twisting two small pieces of dough together and frying them, causing them to separate slightly while remaining connected.",,
Soda,,Soda bread,Ireland,"A variety of quick bread traditionally made in a variety of cuisines in which sodium bicarbonate (otherwise known as baking soda) is used as a raising agent rather than the more common yeast. The ingredients of traditional soda bread are flour, bread soda, salt, and buttermilk. The buttermilk in the dough contains lactic acid, which reacts with the baking soda to form tiny bubbles of carbon dioxide. Other ingredients can be added such as raisins, egg or various nuts.",,
Sopa,,Maize flour and cheese bread,Paraguay,"Maize flour, cheese, eggs, lard.",,
Sopapilla,,Deep fried pumpkin bread,Chile,"Pumpkin, wheat flour and lard",,
Sourdough,,Sourdough,Fertile Crescent,"A bread product made by a long fermentation of dough using naturally occurring lactobacilli and yeasts. In comparison with breads made quickly with cultivated yeast, it usually has a mildly sour taste because of the lactic acid produced by the lactobacilli.",,
Spelt,,Yeast bread,"Georgia 
Armenia",Made mainly with spelt flour or coarse meal.,,
Sprouted,,Sprouted,Isle of Man,A type of bread made from sprouted (germinated) whole grains,,
Taboon,,Flatbread,Turkey,Taboon is a wrap used in many cuisines. This type of flatbread is traditionally baked in a Tabun oven and eaten with different fillings.,,
Laffa,,Flatbread,Turkey,Taboon is a wrap used in many cuisines. This type of flatbread is traditionally baked in a Tabun oven and eaten with different fillings.,,
Taftan,,Leavened,Iran,Leavened flour bread with saffron and small amount of cardamom powder baked in a clay oven.,,
Tandoor,,Flatbread,"South Asia
Central Asia
Western Asia
East Africa",A type of bread baked in a clay oven that is called a tandoor.,,
Teacake,,Sweet bun,United Kingdom (England),Fruited sweet bun usually served toasted and buttered.,,
Texas toast,,Yeast bread,United States (Texas),"A type of packaged white bread (not sold toasted as the name implies) which is sold sliced at double the typical thickness of most sliced breads. While it can be used in the same manner as ordinary bread slices such as in sandwiches, it is especially useful for dishes involving liquids, such as barbecue sauce, or where extra thickness can improve the product, such as French toast.",,
Tiger,,Rice bread,Netherlands,"Rice paste bread made with sesame oil and with a pattern baked into the top made by painting rice paste onto the surface prior to baking. The paste dries and cracks during the baking process, creating a two-colour effect similar to a tiger's markings, hence the name.",,
Tonis puri,,Flatbread,Georgia,Made of white flour and baked in tandoor.,,
Torta frita,,"White flour, lard, flatbread, fried","Argentina, Uruguay",Leavened flatbread deep fried in lard. Similar to sopaipilla,,
Tortilla,,Flatbread,"Mexico
Guatemala","Thin flatbread made from finely ground wheat flour. Originally derived from the corn tortilla (tortilla in Spanish means ""small torta"", or ""small cake""), a bread of maize which predates the arrival of Europeans to the Americas, the wheat flour tortilla was an innovation after wheat was brought to the New World from Spain while this region was the colony of New Spain. It is made with an unleavened, water based dough, pressed and cooked like corn tortillas.",,
Tsoureki,,Leavened,Greece,Sweet bread formed of braided strands of dough; may also be savory.,,
Ttongppang,,Pancake,South Korea,"Korean bread sold at street markets. It is filled with red bean paste with walnut kernel and sold for about ₩1,000.",,
Tunnbröd,,Flatbread,Sweden,"Soft (used as wrap for other food), or crisp (used with fermented herring), many variants depending on type of grain (any mix of wheat, barley, rye), leavening agent (or lack), and rolling pin.",,
Uttapam,,Pancake,India (Southern),"Fermented crêpe or pancake made from rice batter and black lentils garnished with onion, chilli, capsicum, coriander, tomato and cheese. It is served with chutney or sambar",,
Vánočka,,Leavened,"Czech Republic, Slovakia","Baked traditionally at Christmastime. It is rich in eggs and butter, making it similar to brioche. Lemon rind and nutmeg add color and flavor; the dough can also contain raisins and almonds, and is braided like challah.",,
Vienna,,Leavened,Austria (Vienna),"Produced from a process using high milling of Hungarian grain, cereal press-yeast for leavening.",,
Wagafi,,Flatbread,"Iraq, Iran","A flat, thin bread.",,
White,,White,Global,Made from wheat flour from which the bran and the germ have been removed through a process known as milling.,,
Whole wheat,,Leavened,Europe,Made using flour which is partly or entirely made from whole or almost whole wheat grains. An Estonian version is the Sepik.,,
Wotou,,Steamed,China,"Cone-shaped steamed bread made from cornmeal, originating in northern China.",,
Yufka,,Flatbread,Turkey,"Thin, round, unleavened, similar to lavash, about 18 inches (46 cm) in diameter, usually made of wheat flour, water, table salt. The lower the moisture content, the longer the shelf life. Not to be confused with yufka meaning filo.",,
Zopf,,"Leavened, White","Switzerland
Liechtenstein
Germany
Austria","Made of white flour, milk, egg, butter, yeast, dough is braided, brushed with egg yolk before baking, forming a gold crust.",,
Zwieback,,Crispy sweet bread,Germany,"Crisp, sweetened bread, made with eggs and baked twice. It is sliced before it is baked a second time, which produces crisp, brittle slices that closely resemble melba toast.",,
